Device_ID,Packet_Size (bytes),Latency (ms),Throughput (Mbps),Protocol_Type,Source_Port,Destination_Port,IP_Flag,Connection_Duration (ms),Packet_Count,Error_Rate,Fragmentation_Flag,Payload_Size (bytes),Session_Status,Attack_Type
Device_81,880,115.81,51.39,TCP,20093,594,RST,4424.54,528,0.0658,0,1107,Pending,DDoS
Device_7,173,470.0,49.02,UDP,47838,901,RST,1695.57,69,0.0006,1,1486,Established,Normal
Device_95,1237,382.29,72.88,ICMP,53213,812,RST,5452.67,539,0.0506,0,794,Failed,DDoS
Device_26,1153,138.71,16.99,TCP,38274,154,ACK,4682.18,98,0.0114,1,152,Established,Normal
Device_65,146,370.53,94.79,TCP,42197,467,FIN,9721.4,495,0.0199,1,246,Pending,Phishing
Device_72,548,415.68,83.88,UDP,18481,74,None,5674.22,799,0.0872,1,921,Failed,DDoS
Device_62,1352,242.64,58.37,ICMP,959,915,RST,6122.53,516,0.0256,0,1363,Failed,Spoofing
Device_36,447,179.59,64.56,UDP,21358,322,SYN,7129.61,677,0.0809,0,1225,Failed,DDoS
Device_24,683,282.51,75.39,UDP,40695,757,RST,7122.63,979,0.0579,0,716,Pending,DDoS
Device_55,1509,67.33,86.77,TCP,60768,1014,SYN,5113.0,886,0.0668,0,1447,Failed,DDoS
Device_16,734,38.41,48.59,UDP,4401,885,FIN,5029.66,448,0.0165,0,32,Established,Normal
Device_42,276,420.97,14.43,TCP,6631,158,RST,9268.34,311,0.0093,1,817,Established,Normal
Device_88,590,160.35,95.56,UDP,843,832,FIN,8426.12,739,0.0733,0,1159,Pending,Spoofing
Device_39,256,109.35,59.22,ICMP,69,577,FIN,6353.11,970,0.0769,1,1328,Failed,Spoofing
Device_18,623,356.05,39.31,TCP,41863,944,None,4399.46,340,0.009,0,1251,Established,Normal
Device_55,371,4.0,30.27,UDP,52513,732,RST,1935.6,489,0.0135,0,68,Established,Normal
Device_12,472,481.26,66.31,ICMP,363,937,RST,2349.41,866,0.0339,0,843,Pending,Spoofing
Device_60,596,106.55,61.33,ICMP,38249,763,ACK,5899.76,615,0.0847,0,75,Failed,DDoS
Device_86,945,38.8,68.65,UDP,42139,579,FIN,3783.22,719,0.0549,1,231,Pending,DDoS
Device_81,1407,87.77,86.45,ICMP,51664,414,SYN,2833.04,931,0.0643,0,107,Failed,DDoS
Device_90,512,377.23,79.84,ICMP,172,496,FIN,9045.27,358,0.0369,1,895,Failed,Spoofing
Device_80,765,165.34,18.89,ICMP,568,162,RST,667.26,971,0.0444,1,935,Pending,Spoofing
Device_89,238,402.76,22.98,TCP,42021,777,ACK,392.25,364,0.0043,1,759,Established,Normal
Device_81,1233,328.31,99.87,UDP,299,612,RST,5251.12,739,0.0483,1,586,Failed,Spoofing
Device_84,114,17.56,20.34,TCP,21004,843,ACK,5911.17,31,0.0408,1,882,Pending,Phishing
Device_19,872,499.65,58.09,UDP,37426,392,None,2679.49,782,0.0621,0,1266,Failed,DDoS
Device_24,73,7.15,49.13,UDP,23655,316,RST,1158.87,260,0.0125,0,113,Established,Normal
Device_70,1138,451.07,37.49,TCP,50994,596,None,5776.55,267,0.0147,0,1451,Established,Normal
Device_9,223,1.41,97.74,TCP,42052,463,RST,8554.6,554,0.0218,1,395,Failed,Phishing
Device_58,633,162.6,32.11,ICMP,87,907,RST,3848.26,979,0.0278,1,329,Failed,Spoofing
Device_56,109,126.09,33.32,TCP,44051,516,SYN,6350.25,834,0.0396,1,898,Pending,Phishing
Device_64,1371,214.06,49.21,UDP,904,302,FIN,122.56,282,0.0249,0,830,Failed,Spoofing
Device_74,1092,357.48,16.52,UDP,16409,287,SYN,1124.45,347,0.0035,0,250,Established,Normal
Device_89,228,259.78,71.36,TCP,5164,211,ACK,8195.59,394,0.0142,0,720,Pending,Phishing
Device_69,68,490.59,41.34,TCP,59833,605,None,9730.35,293,0.0142,0,737,Failed,Phishing
Device_31,264,113.38,65.19,ICMP,40441,414,SYN,9957.71,791,0.0632,1,1050,Pending,DDoS
Device_51,181,38.92,53.55,TCP,47321,542,SYN,6246.84,945,0.0912,1,122,Pending,DDoS
Device_3,1251,348.66,5.04,ICMP,7,747,FIN,3202.97,537,0.0341,0,1001,Failed,Spoofing
Device_15,232,82.88,47.37,TCP,64602,777,ACK,2748.48,14,0.0438,1,372,Failed,Phishing
Device_10,1210,307.9,15.98,UDP,60830,791,FIN,9971.24,376,0.0008,0,288,Established,Normal
Device_77,112,303.71,43.08,TCP,30839,125,ACK,3334.04,624,0.0415,1,1145,Failed,Phishing
Device_38,1468,89.17,28.59,TCP,904,80,FIN,5969.38,262,0.0287,1,343,Pending,Spoofing
Device_39,148,396.31,15.99,ICMP,17034,555,ACK,5612.63,363,0.0088,0,750,Established,Normal
Device_72,1274,134.18,52.98,ICMP,50934,1004,RST,1473.23,722,0.0743,0,506,Pending,DDoS
Device_39,908,134.61,18.28,UDP,52957,507,RST,9019.84,305,0.0177,1,777,Established,Normal
Device_30,778,285.63,6.65,UDP,48037,957,None,5880.1,54,0.004,1,944,Established,Normal
Device_19,1422,202.06,45.9,TCP,49,415,RST,4733.28,411,0.0606,1,356,Failed,Spoofing
Device_93,935,210.43,73.33,UDP,36910,191,SYN,2037.45,832,0.0817,1,19,Pending,DDoS
